no.	SN		dm15	dm15_err     MB     MB_err  Color
161   2006gz     0.69     0.04     -19.91     0.21     blue
162  2011hr       0.92     0.03     -19.84     0.40    navy
163  2013cv      1.03      0.01     -19.84     0.10    navy
164  2013dy     0.90     0.03     -19.65    0.40    saddlebrown
165  2019np     1.04      0.04    -19.52    0.47      black
166  2019ein    1.36      0.02     -19.18    0.14      black
167  2018oh      0.96    0.02    -19.43   0.10     black
#168  2017hpa    0.98    0.16     -19.45    0.15    black
169  1991T        0.95     0.05    -19.18    0.52    saddlebrown
#170 2004ab 1.16   0.05   -19.05   0.17   grey
#171  2001el 1.26  0.05   -19.13   0.10  grey
