   Date           Phase    JD   	         U    	 UErr        B 	  BErr     V         VErr     R        RErr 		  I 	 IErr
 2003-11-25        +202.2   2452968.61     INDEF 	 INDEF      18.900   0.040      18.950   0.050      19.330   0.110      INDEF 	 INDEF 
 2003-12-01        +208.3   2452974.63     INDEF 	 INDEF      19.020   0.070      19.090   0.100      19.370   0.120      INDEF 	 INDEF 
 2003-12-12        +220.4   2452986.75     20.688    0.038      19.304   0.016      19.313   0.012      19.899   0.041      19.673   0.031 
 2003-12-19        +227.4   2452993.75     INDEF 	 INDEF      19.384   0.010      19.419   0.011      19.979   0.044      19.910   0.033 
 2004-05-10        +370.2   2453136.62     INDEF 	 INDEF      21.476   0.019      21.453   0.020      22.202   0.044      21.192   0.029 
 2004-05-11        +371.2   2453137.62     22.638    0.079      21.531   0.011      21.493   0.018      22.190   0.028      21.320   0.030 
 2004-06-22        +413.4   2453179.54     INDEF 	 INDEF      22.100   0.044      22.010   0.026      23.010   0.052      21.720   0.038 
 2004-08-11        +463.0   2453229.43     INDEF 	 INDEF      22.771   0.027      22.827   0.026      INDEF 	 INDEF      INDEF 	 INDEF 
 2004-08-14        +466.0   2453232.39     INDEF 	 INDEF      INDEF 	 INDEF      INDEF 	 INDEF      INDEF 	 INDEF      22.212   0.048 
  
