JD				B		 BErr        V       VErr      R       RErr      I       IErr
57102.62       INDEF    INDEF       17.03    0.07      16.75    0.07    16.19    0.11   
57103.69       INDEF    INDEF       17.05    0.08      16.68    0.05    16.19    0.06   
57104.59       INDEF    INDEF       17.00    0.08      16.63    0.05    16.14    0.02   
57105.58       INDEF    INDEF       17.07    0.11      16.75    0.05    16.21    0.04   
57106.56       INDEF    INDEF       17.13    0.05      16.75    0.06    16.25    0.03   
57107.53       INDEF    INDEF       17.12    0.08      16.82    0.04    16.33    0.04   
57108.55       INDEF    INDEF       17.01    0.13      16.73    0.07    16.11    0.14   
57109.57       18.28    0.05        17.11    0.08      16.81    0.05    16.34    0.05   
57109.60       INDEF    INDEF       INDEF    INDEF     16.529   0.056   INDEF    INDEF  
57110.61       18.297   0.085       17.215   0.062     16.787   0.061   15.993   0.056  
57111.59       18.25    0.12        17.07    0.05      16.79    0.03    16.30    0.03   
57123.53       INDEF    INDEF       17.19    0.09      16.87    0.20    16.31    0.11   
57133.53       18.780   0.050       17.509   0.078     17.127   0.057   16.250   0.052  
57147.46       19.000   0.050       17.629   0.059     INDEF    INDEF   INDEF    INDEF  
57171.51       19.571   0.087       18.013   0.052     17.269   0.051   16.557   0.050  
57179.51       19.430   0.050       17.887   0.054     17.389   0.054   16.444   0.051  
57194.26       INDEF    INDEF       17.959   0.014     17.375   0.014   INDEF    INDEF  
57201.47       INDEF    INDEF       INDEF    INDEF     17.132   0.059   INDEF    INDEF  
57202.47       INDEF    INDEF       INDEF    INDEF     17.535   0.063   INDEF    INDEF  
57235.48       INDEF    INDEF       INDEF    INDEF     17.540   0.066   16.726   0.058  
57237.47       INDEF    INDEF       INDEF    INDEF     17.623   0.053   16.751   0.054  
57239.47       INDEF    INDEF       18.709   0.091     17.596   0.061   INDEF    INDEF  
57362.59       INDEF    INDEF       19.355   0.017     18.621   0.011   INDEF    INDEF  

                                                                                                                                     
