JD          u        uErr    g        gErr        r        rErr     i        iErr    B		BErr	V	    VErr   J    JErr     H    HErr    K		KErr
56905.03    INDEF    INDEF   INDEF    INDEF      INDEF    INDEF     INDEF    INDEF  INDEF  INDEF   INDEF   INDEF   17.70    0.03    16.67    0.05    17.08   0.05
56906.33    INDEF    INDEF   INDEF    INDEF      18.32     0.06     17.96     0.10  19.99  0.07    18.59   0.05    INDEF	INDEF   INDEF    INDEF   INDEF   INDEF
56909.42    INDEF    INDEF   19.37     0.15      18.36     0.08     17.95     0.20  INDEF  INDEF   18.67   0.09    INDEF	INDEF   INDEF    INDEF   INDEF   INDEF
56910.32    INDEF    INDEF   19.42     0.06      18.44     0.07     18.06     0.04  19.89  0.10    18.74   0.05    INDEF	INDEF   INDEF    INDEF   INDEF   INDEF
56914.46    INDEF    INDEF   19.52     0.07      18.53     0.05     18.18     0.10  20.17  0.07    18.79   0.04    INDEF	INDEF   INDEF    INDEF   INDEF   INDEF
56918.51    INDEF    INDEF   19.54     0.07      18.55     0.06     18.14     0.10  20.06  0.05    18.87   0.03    INDEF	INDEF   INDEF    INDEF   INDEF   INDEF
56922.40    INDEF    INDEF   19.68     0.07      18.70     0.08     INDEF    INDEF  20.13  0.04    18.93   0.04    INDEF	INDEF   INDEF    INDEF   INDEF   INDEF
56923.40    INDEF    INDEF   19.70     0.07      18.64     0.16     18.31     0.17  INDEF  INDEF   19.00   0.04    INDEF	INDEF   INDEF    INDEF   INDEF   INDEF
56927.04    INDEF    INDEF   19.67     0.19      18.77     0.17     18.30     0.04  20.11  0.18    18.95   0.21    INDEF	INDEF   INDEF    INDEF   INDEF   INDEF
56928.32    INDEF    INDEF   INDEF    INDEF      INDEF    INDEF     INDEF    INDEF  20.21  0.18    19.03   0.11    INDEF	INDEF   INDEF    INDEF   INDEF   INDEF
56937.07    INDEF    INDEF   INDEF    INDEF      INDEF    INDEF     INDEF    INDEF  INDEF  INDEF   INDEF   INDEF   18.16    0.04    17.39    0.07    17.75   0.05
56943.83    22.79     0.18   INDEF    INDEF      INDEF    INDEF     INDEF    INDEF  20.58  0.03    19.32   0.02    INDEF	INDEF   INDEF    INDEF   INDEF   INDEF
56954.83    INDEF    INDEF   19.87     0.17      19.32     0.19     18.80     0.18  20.47  0.19    19.34   0.21    INDEF	INDEF   INDEF    INDEF   INDEF   INDEF
56958.83    INDEF    INDEF   20.03     0.10      19.42     0.10     18.93     0.08  20.58  0.21    19.41   0.21    INDEF	INDEF   INDEF    INDEF   INDEF   INDEF
57027.83    INDEF    INDEF   INDEF    INDEF      INDEF    INDEF     INDEF    INDEF  INDEF  INDEF   INDEF   INDEF   18.89    0.04    18.55    0.09    19.34   0.26
57032.77    INDEF    INDEF   22.80     0.36      22.07     0.45     21.64     0.47  22.41  0.52    21.52   0.56    INDEF	INDEF   INDEF    INDEF   INDEF   INDEF
                                                                                     
