# 2009dc SiII
-9  	8.80
-8	8.80
-7 	8.60
-3	8.15
2.5	7.50
4.5	7.30
7	7.10
8	7.00
9	7.00
12	6.60
18	6.40
22.5	6.00
32.3	5.50
36.5	5.60



