FILTER Phase FILTER FMAG FERR
99 21.0 V 14.463 0.017
106 26.1 V 14.724 0.010
111 31.2 V 15.018 0.014
115 34.7 V 15.223 0.047
118 38.7 V 15.477 0.131
122 39.7 V 15.473 0.011
126 45.1 V 15.676 0.010
131 51.1 V 15.859 0.015
135 52.7 V 15.892 0.012
139 54.6 V 15.924 0.018
143 58.7 V 16.046 0.019
146 60.0 V 16.088 0.016
149 62.7 V 16.159 0.036
154 63.1 V 16.173 0.010
158 66.8 V 16.290 0.020
162 72.0 V 16.410 0.015
166 87.0 V 16.769 0.011
170 108.0 V 17.266 0.026
173 109.0 V 17.281 0.012
178 132.9 V 17.780 0.021
183 136.0 V 17.851 0.017
188 143.0 V 17.956 0.043
192 199.2 V 18.670 0.100
195 200.3 V 18.930 0.060
198 202.2 V 18.950 0.050
201 208.3 V 19.090 0.100
205 220.4 V 19.313 0.012
209 227.4 V 19.419 0.011
213 370.2 V 21.453 0.020
218 371.2 V 21.493 0.018
222 413.4 V 22.010 0.026
226 463.0 V 22.827 0.026
