JD		     u		uErr	    g		gErr	   r		rErr	i		  iErr	    B		BErr		V		VErr	uvw2	  uvw2Err  uvm2		uvm2Err		uvw1	uvw1Err	   	J		  JErr		H		  HErr		K		  KErr
5992.56    18.656    0.041    16.511    0.006    15.047    0.008    14.811    0.006    17.074    0.011    15.643    0.008   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		INDEF	  INDEF     INDEF     INDEF     INDEF     INDEF
5993.53    INDEF     INDEF    16.562    0.006    15.100    0.004    14.875    0.004    17.129    0.009    15.694    0.005   INDEF     INDEF    INDEF     INDEF    19.483    0.290		14.380    0.030     14.170    0.020     14.300    0.060
5994.54    18.764    0.067    16.599    0.007    15.157    0.004    14.922    0.006    17.168    0.011    15.749    0.006   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		INDEF     INDEF     14.536    0.254     INDEF     INDEF
5995.54    18.880    0.064    16.668    0.008    15.215    0.006    14.969    0.007    17.237    0.010    15.797    0.007   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		14.705    0.030     INDEF     INDEF     INDEF     INDEF
5996.53    18.945    0.038    16.713    0.009    15.267    0.008    15.023    0.008    17.250    0.014    15.848    0.006   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		14.550    0.030     14.290    0.030     14.320    0.060
5997.52    19.017    0.023    16.743    0.007    15.310    0.007    15.072    0.008    17.299    0.009    15.890    0.006   INDEF     INDEF    INDEF     INDEF    19.532    0.302		INDEF	  INDEF     INDEF     INDEF     INDEF     INDEF
5998.52    19.063    0.030    16.773    0.004    15.349    0.004    15.101    0.004    17.347    0.009    15.923    0.006   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		14.705    0.030     INDEF     INDEF     INDEF     INDEF
5999.52    19.024    0.021    16.819    0.011    15.396    0.009    15.168    0.010    17.375    0.010    15.994    0.009   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		14.653    0.205     INDEF     INDEF     INDEF     INDEF
6000.56    INDEF     INDEF    16.826    0.008    15.418    0.004    15.172    0.006    17.395    0.008    15.995    0.004   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		INDEF	  INDEF     INDEF     INDEF     INDEF     INDEF
6001.55    INDEF     INDEF    16.847    0.005    15.467    0.004    15.214    0.005    17.419    0.009    16.024    0.007   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		INDEF	  INDEF     INDEF     INDEF     INDEF     INDEF
