JD     Epoch  U   UErr    B   BErr    V   VErr    R   RErr    I   IErr    
48469.51 2400000 INDEF		INDEF  15.42    .02     INDEF	  INDEF  14.78    .02       INDEF	    INDEF         
48480.49 2400000 INDEF		INDEF  INDEF	INDEF   INDEF	  INDEF  15.29    .02       INDEF	    INDEF                       
48593.46 2400000 INDEF		INDEF  16.95    .06     17.01    .05     17.59    .06       INDEF	    INDEF         
48593.46 2400000 INDEF		INDEF  16.98    .06     17.01    .05     17.62    .06       INDEF	    INDEF         
48594.46 2400000 INDEF		INDEF  17.06    .06     17.10    .06     17.65    .06       INDEF	      INDEF         
48597.8  2400000 INDEF		INDEF  17.20    .03      17.13   .03     17.65   .05        17.34      .08  
48603.46 2400000 INDEF		INDEF  17.04    .06     17.07    .06     17.68    .06       INDEF	      INDEF           
48628.83 2400000 INDEF		INDEF  17.496   .019    17.484   .018    INDEF	   INDEF    17.939      .040 
48629.83 2400000 INDEF		INDEF  17.513   .018    17.475   .018    INDEF	   INDEF    17.951      .046 
48653.90 2400000 INDEF		INDEF  17.66    .05     17.95    .05     18.54    .05       INDEF	      INDEF         
48657.60 2400000 INDEF		INDEF  INDEF	INDEF   17.88    .07     INDEF	  INDEF     INDEF	      INDEF                    
48657.82 2400000 INDEF		INDEF  17.74    .04     17.96    .03     18.56    .04       INDEF	      INDEF         
48658.66 2400000 INDEF		INDEF  17.75    .04     17.94    .08     18.52    .06       INDEF	      INDEF         
48677.78 2400000 INDEF		INDEF  INDEF	INDEF   18.116   .022    INDEF	  INDEF     18.367      .045 
48681.78 2400000 INDEF		INDEF  18.02    .06     18.34    .05     18.97    .05       INDEF	     INDEF         
48686.46 2400000 INDEF		INDEF  18.25    .10     18.27    .06     19.00    .08       INDEF	     INDEF         
48687.85 2400000 INDEF		INDEF  INDEF	INDEF   18.343   .017    19.086   .022      18.489      .026 
48688.46 2400000 INDEF		INDEF  18.25    .10     18.35    .06     19.05    .08       INDEF	      INDEF         
48688.8  2400000 INDEF		INDEF  INDEF	INDEF   18.35   .03      19.05   .05        18.43      .05  
48691.78 2400000 INDEF		INDEF  18.445   .018    18.357   .019    19.080   .025      18.489      .031 
48692.67 2400000 INDEF		INDEF  18.42    .07     18.42    .07     19.07    .06       INDEF	      INDEF         
48720.77 2400000 INDEF		INDEF  18.834   .023    18.765   .022    INDEF	  INDEF     18.952      .034 
48731.62 2400000 INDEF		INDEF  INDEF	INDEF   19.010   .052    INDEF	  INDEF     INDEF	      INDEF                    
48731.63 2400000 INDEF		INDEF  18.916   .078    18.947   .047    INDEF	  INDEF     INDEF	      INDEF                    
48742.8  2400000 INDEF		INDEF  19.00    .03     19.05   .03      19.64   .08        18.81      .09  
48746.69 2400000 INDEF		INDEF  18.99    .05     19.12    .05     19.58    .05       19.00       .08  
48776.53 2400000 20.346   .250    19.654   .078    19.662   .057    20.271   .102      19.374      .119 
48776.54 2400000 INDEF		INDEF  19.773   .097    19.684   .063    20.162   .097      19.359      .113 
48776.8  2400000 INDEF		INDEF  19.43    .03      19.49   .03      20.03   .08       19.08      .12  
48829.67 2400000 INDEF		INDEF  19.97    .10     20.27    .05     20.57    .05       INDEF	    INDEF          
