JD	EXPTIME	B	BErr	V	VErr	R	RErr	I	IErr	Y	YErr	J	JErr	H	HErr	K	KErr
874.716    30    14.268  0.084     12.971  0.051     12.605  0.043     12.291  0.061     12.070  0.034     13.208  0.035     12.332  0.047     12.269  0.119 
875.624    30    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    12.038  0.029     13.239  0.078     INDEF  INDEF    INDEF  INDEF
876.648    30    14.369  0.085     13.089  0.052     12.731  0.048     12.389  0.062     12.088  0.053     13.214  0.048     12.408  0.038     12.399  0.102 
877.591    30    14.401  0.103     13.160  0.057     12.779  0.053     12.444  0.066     12.123  0.053     13.270  0.053     12.448  0.054     INDEF  INDEF
878.630    30    14.462  0.125     13.186  0.064     12.887  0.058     12.498  0.071     12.128  0.044     13.351  0.087     12.474  0.059     12.644  0.170 
879.612    30    14.515  0.139     13.235  0.069     12.898  0.062     12.582  0.074     12.184  0.040     13.484  0.097     12.531  0.054     12.669  0.120 
880.574    30    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    12.212  0.053     INDEF  INDEF    12.563  0.089     INDEF  INDEF
882.563    30    14.649  0.175     13.311  0.076     13.081  0.093     12.729  0.089     12.318  0.025     INDEF  INDEF    12.759  0.069     INDEF  INDEF
883.596    30    14.709  0.258     13.392  0.109     INDEF  INDEF    12.709  0.106     12.419  0.045     13.862  0.110     12.861  0.080     INDEF  INDEF
887.609    30    14.797  0.171     13.552  0.088     13.271  0.077     12.984  0.101     12.659  0.033     14.227  0.127     13.029  0.085     13.152  0.066 
888.593    30    14.761  0.218     13.584  0.101     13.319  0.085     13.050  0.104     12.747  0.052     INDEF  INDEF    13.019  0.062     INDEF  INDEF
889.585    30    14.784  0.102     13.618  0.065     13.326  0.063     13.098  0.098     12.783  0.032     14.317  0.091     INDEF  INDEF    INDEF  INDEF
890.602    30    14.790  0.104     13.629  0.063     13.381  0.059     INDEF  INDEF    12.814  0.047     14.362  0.035     13.151  0.046     13.319  0.038 
893.627    30    14.811  0.114     13.714  0.070     13.450  0.066     13.262  0.100     INDEF  INDEF    INDEF  INDEF    13.309  0.032     13.549  0.074 
894.603    30    14.886  0.105     13.727  0.067     13.498  0.068     13.321  0.108     13.057  0.044     14.678  0.119     13.338  0.032     INDEF  INDEF
895.580    30    14.853  0.122     13.744  0.070     13.531  0.074     13.351  0.121     13.108  0.066     INDEF  INDEF    13.425  0.032     INDEF  INDEF
896.560    30    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    13.113  0.025     INDEF  INDEF    INDEF  INDEF    INDEF  INDEF
901.563    30    14.913  0.129     13.913  0.078     13.691  0.075     INDEF  INDEF    13.476  0.088     INDEF  INDEF    13.569  0.068     INDEF  INDEF
902.645    90    14.944  0.116     13.947  0.149     13.746  0.128     13.608  0.121     13.507  0.054     INDEF  INDEF    INDEF  INDEF    INDEF  INDEF
903.720    90    14.949  0.108     13.980  0.070     13.750  0.071     13.654  0.136     13.587  0.087     15.116  0.035     INDEF  INDEF    INDEF  INDEF
904.582    90    14.943  0.142     13.983  0.083     13.788  0.080     13.699  0.126     13.634  0.073     INDEF  INDEF    13.733  0.045     INDEF  INDEF
905.556    90    14.960  0.108     14.006  0.071     13.836  0.074     13.700  0.127     13.638  0.048     15.222  0.035     13.791  0.067     INDEF  INDEF
906.539    90    14.981  0.299     14.095  0.140     13.867  0.138     13.781  0.221     13.638  0.031     INDEF  INDEF    INDEF  INDEF    INDEF  INDEF
910.542    90    INDEF  INDEF    14.070  0.162     13.976  0.158     INDEF  INDEF    13.876  0.054     INDEF  INDEF    INDEF  INDEF    INDEF  INDEF
911.551    90    15.025  0.177     14.142  0.186     14.028  0.117     13.958  0.189     13.889  0.053     15.598  0.035     INDEF  INDEF    INDEF  INDEF
913.546    90    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    INDEF  INDEF    14.060  0.082     INDEF  INDEF    14.103  0.083     14.290  0.038 
