FILTER Phase FILTER FMAG FERR
101 20.800000000279397 V 10.909 0.02
105 22.800000000279397 V 10.968 0.04
109 24.800000000279397 V 11.009 0.06
113 29.899999999906868 V 11.432 0.07
117 34.8000000002794 V 11.762 0.02
121 38.8000000002794 V 11.972000000000001 0.06
125 42.200000000186265 V 12.085 0.21
129 48.3000000002794 V 12.242 0.02
133 52.8000000002794 V 12.452 0.02
137 57.200000000186265 V 12.505 0.02
141 58.3000000002794 V 12.571 0.02
145 63.200000000186265 V 12.714 0.1
149 67.3000000002794 V 12.84 0.08
153 74.20000000018626 V 12.932 0.12
157 75.20000000018626 V 13.032 0.05
161 80.3000000002794 V 13.145 0.05
