FILTER Phase FILTER FMAG FERR
115 3.2 R 14.279 0.030
128 5.2 R 14.284 0.029
169 11.2 R 14.695 0.081
177 12.1 R 14.767 0.076
209 19.1 R 15.025 0.025
218 20.5 R 15.108 0.009
227 21.5 R 15.122 0.007
231 22.1 R 14.967 0.075
242 23.2 R 15.041 0.033
249 23.5 R 15.156 0.009
256 24.5 R 15.163 0.024
272 27.1 R 15.155 0.064
280 27.6 R 15.167 0.009
284 28.2 R 15.134 0.044
292 29.1 R 15.161 0.045
322 35.6 R 15.539 0.012
345 43.6 R 15.926 0.023
348 45.6 R 16.037 0.073
358 50.6 R 16.229 0.017
18 -7.1 U 14.285 0.027
21 -6.9 U 14.213 0.062
39 -6.2 U 14.173 0.026
46 -5.2 U 14.082 0.027
53 -4.5 U 14.030 0.027
67 -2.8 U 13.950 0.026
80 -1.6 U 13.967 0.028
89 -0.5 U 13.973 0.028
102 2.3 U 14.081 0.027
111 3.2 U 14.157 0.027
117 3.5 U 14.230 0.031
130 5.4 U 14.326 0.027
139 7.5 U 14.524 0.029
146 8.5 U 14.641 0.027
161 10.5 U 14.793 0.027
173 11.7 U 14.885 0.032
197 16.4 U 15.489 0.054
237 23.2 U 16.398 0.032
262 26.2 U 16.765 0.045
276 27.5 U 16.774 0.031
298 30.4 U 16.902 0.081
331 38.4 U 17.359 0.131
341 43.4 U 17.372 0.135
355 49.4 U 17.502 0.093
372 61.3 U 19.431 0.274
375 62.3 U 19.540 0.264
378 63.3 U 19.553 0.246
384 70.3 U 19.518 0.266
395 81.3 U 19.837 0.241
402 86.3 U 19.585 0.252
405 88.3 U 19.440 0.359
408 92.3 U 19.717 0.242
414 95.3 U 19.922 0.271
415 98.3 U 20.149 0.316
419 110.3 U 19.680 0.241
422 113.3 U 20.098 0.306
1 -8.6 V 15.085 0.025
3 -8.5 V 15.067 0.025
4 -8.5 V 14.915 0.005
8 -7.9 V 14.931 0.011
10 -7.5 V 14.879 0.013
12 -7.5 V 14.722 0.010
13 -7.5 V 14.771 0.005
17 -7.2 V 14.857 0.024
20 -7.1 V 14.799 0.014
23 -6.9 V 14.818 0.015
27 -6.9 V 14.724 0.027
31 -6.5 V 14.783 0.016
33 -6.5 V 14.797 0.014
35 -6.5 V 14.584 0.011
36 -6.5 V 14.668 0.006
41 -6.2 V 14.697 0.014
43 -6.0 V 14.701 0.020
45 -5.5 V 14.471 0.010
48 -5.2 V 14.608 0.014
50 -5.0 V 14.622 0.010
52 -4.6 V 14.584 0.022
