FILTER Phase FILTER FMAG FERR
159 33.74599999999998 R 12.605 0.043
163 35.678 R 12.731 0.048
167 36.62099999999998 R 12.779 0.053
171 37.65999999999997 R 12.887 0.058
175 38.64199999999994 R 12.898 0.062
179 41.59299999999996 R 13.081 0.093
186 46.638999999999896 R 13.271 0.077
190 47.62300000000005 R 13.319 0.085
194 48.61500000000001 R 13.326 0.063
198 49.63199999999995 R 13.381 0.059
201 52.656999999999925 R 13.450 0.066
205 53.63300000000004 R 13.498 0.068
209 54.610000000000014 R 13.531 0.074
213 60.59299999999996 R 13.691 0.075
216 61.674999999999955 R 13.746 0.128
220 62.75 R 13.750 0.071
224 63.611999999999966 R 13.788 0.080
228 64.58600000000001 R 13.836 0.074
232 65.56899999999996 R 13.867 0.138
235 69.57199999999989 R 13.976 0.158
238 70.58100000000002 R 14.028 0.117
1 -14.211000000000126 V 13.398 0.041
5 -13.228000000000065 V 13.103 0.041
8 -12.188000000000102 V 12.844 0.042
12 -11.188999999999965 V 12.572 0.046
16 -10.206999999999994 V 12.366 0.044
20 -9.197000000000003 V 12.172 0.048
24 -8.215000000000032 V 12.035 0.045
27 -7.240000000000009 V 11.902 0.052
30 -6.293000000000006 V 11.824 0.056
34 -5.187000000000012 V 11.749 0.057
38 -4.211000000000126 V 11.658 0.058
44 -2.1680000000000064 V 11.563 0.054
47 -1.1980000000000928 V 11.512 0.047
50 -0.20199999999999818 V 11.509 0.047
54 0.8369999999999891 V 11.508 0.048
58 1.81899999999996 V 11.511 0.047
62 2.8210000000000264 V 11.505 0.047
66 3.7630000000000337 V 11.521 0.046
70 4.786000000000058 V 11.540 0.048
74 5.694999999999936 V 11.555 0.048
78 6.784999999999968 V 11.609 0.049
82 7.786999999999921 V 11.637 0.049
86 8.764999999999986 V 11.662 0.116
90 9.822999999999979 V 11.703 0.094
94 12.751999999999953 V 11.892 0.073
98 13.793999999999869 V 11.913 0.064
102 14.798999999999864 V 11.978 0.056
106 15.773999999999887 V 12.045 0.050
110 17.80600000000004 V 12.160 0.046
114 21.753000000000043 V 12.371 0.048
118 22.778999999999883 V 12.442 0.043
122 23.824999999999932 V 12.458 0.042
126 24.783999999999878 V 12.530 0.040
130 25.77800000000002 V 12.580 0.040
134 26.69399999999996 V 12.612 0.044
138 28.766000000000076 V 12.723 0.044
142 29.686999999999898 V 12.775 0.041
146 30.756000000000085 V 12.826 0.041
150 31.746999999999957 V 12.870 0.042
154 32.761999999999944 V 12.915 0.121
158 33.74599999999998 V 12.971 0.051
162 35.678 V 13.089 0.052
166 36.62099999999998 V 13.160 0.057
170 37.65999999999997 V 13.186 0.064
174 38.64199999999994 V 13.235 0.069
178 41.59299999999996 V 13.311 0.076
182 42.625999999999976 V 13.392 0.109
185 46.638999999999896 V 13.552 0.088
189 47.62300000000005 V 13.584 0.101
193 48.61500000000001 V 13.618 0.065
197 49.63199999999995 V 13.629 0.063
200 52.656999999999925 V 13.714 0.070
204 53.63300000000004 V 13.727 0.067
208 54.610000000000014 V 13.744 0.070
212 60.59299999999996 V 13.913 0.078
215 61.674999999999955 V 13.947 0.149
219 62.75 V 13.980 0.070
223 63.611999999999966 V 13.983 0.083
227 64.58600000000001 V 14.006 0.071
231 65.56899999999996 V 14.095 0.140
234 69.57199999999989 V 14.070 0.162
237 70.58100000000002 V 14.142 0.186
