 JD uvb uvbErr uvv uvvErr uvbex uvbexErr uvvex uvvexErr uvb-uvv uvb-uvvErr Phase
0 2453526.000 14.290 0.042 14.321 0.052 13.582 0.130 13.788 0.106 -0.206 0.168 -8.740
1 2453527.000 14.153 0.042 14.113 0.049 13.445 0.130 13.580 0.105 -0.135 0.167 -7.740
2 2453528.000 13.921 0.041 13.984 0.048 13.213 0.129 13.451 0.104 -0.238 0.166 -6.740
3 2453531.000 13.666 0.040 13.660 0.044 12.958 0.129 13.127 0.102 -0.169 0.165 -3.740
4 2453532.000 13.638 0.040 13.621 0.044 12.930 0.129 13.088 0.102 -0.158 0.165 -2.740
7 2453548.000 14.643 0.045 14.032 0.048 13.935 0.131 13.499 0.104 0.436 0.167 13.260
8 2453551.000 14.889 0.046 14.170 0.050 14.181 0.131 13.637 0.105 0.544 0.168 16.260
9 2453564.000 16.099 0.071 14.890 0.065 15.391 0.142 14.357 0.113 1.034 0.181 29.260
11 2453575.000 16.656 0.059 15.547 0.057 15.948 0.136 15.014 0.109 0.934 0.174 40.260
